dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
14/05/2021,14,5,2021,278,5,Estonia,EE,EST,1328976,Europe
15/05/2021,15,5,2021,280,3,Estonia,EE,EST,1328976,Europe
16/05/2021,16,5,2021,131,2,Estonia,EE,EST,1328976,Europe
17/05/2021,17,5,2021,153,0,Estonia,EE,EST,1328976,Europe
18/05/2021,18,5,2021,294,7,Estonia,EE,EST,1328976,Europe
19/05/2021,19,5,2021,257,3,Estonia,EE,EST,1328976,Europe
20/05/2021,20,5,2021,327,0,Estonia,EE,EST,1328976,Europe
21/05/2021,21,5,2021,225,3,Estonia,EE,EST,1328976,Europe
22/05/2021,22,5,2021,180,5,Estonia,EE,EST,1328976,Europe
23/05/2021,23,5,2021,103,0,Estonia,EE,EST,1328976,Europe
24/05/2021,24,5,2021,77,1,Estonia,EE,EST,1328976,Europe
25/05/2021,25,5,2021,160,0,Estonia,EE,EST,1328976,Europe
26/05/2021,26,5,2021,185,1,Estonia,EE,EST,1328976,Europe
27/05/2021,27,5,2021,144,2,Estonia,EE,EST,1328976,Europe
28/05/2021,28,5,2021,139,3,Estonia,EE,EST,1328976,Europe
29/05/2021,29,5,2021,127,3,Estonia,EE,EST,1328976,Europe
30/05/2021,30,5,2021,62,1,Estonia,EE,EST,1328976,Europe
31/05/2021,31,5,2021,58,1,Estonia,EE,EST,1328976,Europe
01/06/2021,1,6,2021,131,6,Estonia,EE,EST,1328976,Europe
02/06/2021,2,6,2021,129,1,Estonia,EE,EST,1328976,Europe
03/06/2021,3,6,2021,105,1,Estonia,EE,EST,1328976,Europe
04/06/2021,4,6,2021,96,0,Estonia,EE,EST,1328976,Europe
05/06/2021,5,6,2021,63,2,Estonia,EE,EST,1328976,Europe
06/06/2021,6,6,2021,51,1,Estonia,EE,EST,1328976,Europe
07/06/2021,7,6,2021,37,1,Estonia,EE,EST,1328976,Europe
08/06/2021,8,6,2021,86,0,Estonia,EE,EST,1328976,Europe
09/06/2021,9,6,2021,68,0,Estonia,EE,EST,1328976,Europe
10/06/2021,10,6,2021,54,2,Estonia,EE,EST,1328976,Europe
11/06/2021,11,6,2021,54,0,Estonia,EE,EST,1328976,Europe
12/06/2021,12,6,2021,55,0,Estonia,EE,EST,1328976,Europe
13/06/2021,13,6,2021,37,0,Estonia,EE,EST,1328976,Europe
14/06/2021,14,6,2021,28,0,Estonia,EE,EST,1328976,Europe
15/06/2021,15,6,2021,61,0,Estonia,EE,EST,1328976,Europe
16/06/2021,16,6,2021,59,0,Estonia,EE,EST,1328976,Europe
17/06/2021,17,6,2021,37,1,Estonia,EE,EST,1328976,Europe
18/06/2021,18,6,2021,56,0,Estonia,EE,EST,1328976,Europe
19/06/2021,19,6,2021,30,0,Estonia,EE,EST,1328976,Europe
20/06/2021,20,6,2021,25,1,Estonia,EE,EST,1328976,Europe
21/06/2021,21,6,2021,12,0,Estonia,EE,EST,1328976,Europe
22/06/2021,22,6,2021,37,1,Estonia,EE,EST,1328976,Europe
23/06/2021,23,6,2021,25,0,Estonia,EE,EST,1328976,Europe
24/06/2021,24,6,2021,18,0,Estonia,EE,EST,1328976,Europe
25/06/2021,25,6,2021,10,0,Estonia,EE,EST,1328976,Europe
26/06/2021,26,6,2021,33,0,Estonia,EE,EST,1328976,Europe
27/06/2021,27,6,2021,27,0,Estonia,EE,EST,1328976,Europe
28/06/2021,28,6,2021,15,0,Estonia,EE,EST,1328976,Europe
